"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10250753,2.375,39.958,0,133.048,0,528.612,23.061,32.179,5.683,158.68,0.037,24.095,32.183,-5.683,-1.035,-0.003,-0.037,"POLYGON ((39.916665786999943 2.33333309799999, 39.999999119999941 2.33333309799999, 39.999999119999941 2.41666643099999, 39.916665786999943 2.41666643099999, 39.916665786999943 2.33333309799999))"
10253590,3.875,36.292,26.275,122.6,0.214,558.725,24.2,33.059,8.853,172.423,0.049,24.076,33.052,17.422,0.124,0.007,0.166,"POLYGON ((36.249999134999939 3.8333330919999895, 36.333332467999938 3.8333330919999895, 36.333332467999938 3.9166664249999896, 36.249999134999939 3.9166664249999896, 36.249999134999939 3.8333330919999895))"
10254809,3.875,37.708,2.75,128.246,0.021,501.36,21.984,31.419,4.716,159.774,0.031,22.438,30.801,-1.966,-0.454,0.619,-0.009,"POLYGON ((37.666665795999961 3.8333330919999895, 37.74999912899996 3.8333330919999895, 37.74999912899996 3.9166664249999896, 37.666665795999961 3.9166664249999896, 37.666665795999961 3.8333330919999895))"
10255893,2.542,37.875,29.725,120.431,0.247,492.315,22.01,30.811,1.446,163.399,0.009,22.656,30.562,28.279,-0.646,0.249,0.238,"POLYGON ((37.833332461999959 2.4999997639999876, 37.916665794999957 2.4999997639999876, 37.916665794999957 2.5833330969999877, 37.833332461999959 2.5833330969999877, 37.833332461999959 2.4999997639999876))"
10256775,2.125,37.792,8.8,114.518,0.077,448.795,20.585,29.334,1.054,154.229,0.007,21.202,29.328,7.746,-0.617,0.006,0.069,"POLYGON ((37.749999128999946 2.0833330989999865, 37.833332461999944 2.0833330989999865, 37.833332461999944 2.1666664319999867, 37.749999128999946 2.1666664319999867, 37.749999128999946 2.0833330989999865))"
10264413,0.125,38.958,1.575,111.801,0.014,493.555,23.112,29.792,1.332,145.633,0.01,22.89,31.112,0.243,0.222,-1.32,0.004,"POLYGON ((38.916665790999957 0.0833331069999872, 38.999999123999956 0.0833331069999872, 38.999999123999956 0.16666643999998718, 38.916665790999957 0.16666643999998718, 38.916665790999957 0.0833331069999872))"
10264460,2.958,37.875,6.95,124.353,0.056,515.125,22.711,31.631,1.409,162.583,0.007,23.335,31.244,5.541,-0.625,0.387,0.049,"POLYGON ((37.833332461999959 2.9166664289999886, 37.916665794999957 2.9166664289999886, 37.916665794999957 2.9999997619999887, 37.833332461999959 2.9999997619999887, 37.833332461999959 2.9166664289999886))"
10268116,1.292,39.958,2.3,129.831,0.018,541.415,23.981,32.114,4.013,159.102,0.027,24.535,32.641,-1.713,-0.554,-0.528,-0.01,"POLYGON ((39.916665786999943 1.2499997689999844, 39.999999119999941 1.2499997689999844, 39.999999119999941 1.3333331019999843, 39.916665786999943 1.3333331019999843, 39.916665786999943 1.2499997689999844))"
10271037,1.625,39.375,0.125,128.545,0.001,529.8,23.493,31.827,0.51,158.353,0.004,24.167,32.16,-0.385,-0.674,-0.333,-0.003,"POLYGON ((39.333332455999965 1.5833331009999867, 39.416665788999964 1.5833331009999867, 39.416665788999964 1.6666664339999866, 39.333332455999965 1.6666664339999866, 39.333332455999965 1.5833331009999867))"
10277277,3.208,39.125,9.6,131.576,0.073,491.19,21.618,31.128,8.092,152.637,0.055,22.587,30.536,1.508,-0.969,0.592,0.018,"POLYGON ((39.083332456999955 3.166666427999985, 39.166665789999954 3.166666427999985, 39.166665789999954 3.2499997609999851, 39.083332456999955 3.2499997609999851, 39.083332456999955 3.166666427999985))"
10279789,0.708,39.958,0.2,127.021,0.002,541.39,24.333,31.747,2.147,156.365,0.015,24.474,32.537,-1.947,-0.141,-0.79,-0.014,"POLYGON ((39.916665786999943 0.66666643799998582, 39.999999119999941 0.66666643799998582, 39.999999119999941 0.74999977099998583, 39.916665786999943 0.74999977099998583, 39.916665786999943 0.66666643799998582))"
10280309,1.208,36.458,96.75,98.821,0.979,348.997,17.36,25.906,59.834,124.3,0.486,17.635,26.983,36.916,-0.275,-1.077,0.493,"POLYGON ((36.416665800999965 1.1666664359999857, 36.499999133999964 1.1666664359999857, 36.499999133999964 1.2499997689999855, 36.416665800999965 1.2499997689999855, 36.416665800999965 1.1666664359999857))"
10280388,2.958,37.292,44.75,119.681,0.374,519.26,22.896,31.721,4.903,162.424,0.031,23.349,31.605,39.847,-0.453,0.116,0.343,"POLYGON ((37.249999130999953 2.9166664289999886, 37.333332463999952 2.9166664289999886, 37.333332463999952 2.9999997619999887, 37.249999130999953 2.9999997619999887, 37.249999130999953 2.9166664289999886))"
10280392,3.375,36.792,12.6,119.796,0.105,526.745,23.064,32.052,4.171,164.412,0.027,23.295,32.031,8.429,-0.231,0.021,0.078,"POLYGON ((36.74999913299996 3.3333330939999897, 36.833332465999959 3.3333330939999897, 36.833332465999959 3.41666642699999, 36.74999913299996 3.41666642699999, 36.74999913299996 3.3333330939999897))"
10285571,1.708,39.875,1.597,130.994,0.012,536.71,23.591,32.19,7.408,160.555,0.046,24.39,32.501,-5.811,-0.799,-0.311,-0.034,"POLYGON ((39.833332453999958 1.6666664339999855, 39.916665786999957 1.6666664339999855, 39.916665786999957 1.7499997669999854, 39.833332453999958 1.7499997669999854, 39.833332453999958 1.6666664339999855))"
10285927,0.708,37.458,27.85,97.845,0.285,359.29,18.126,25.826,3.52,124.391,0.029,18.366,27.245,24.33,-0.24,-1.419,0.255,"POLYGON ((37.416665796999951 0.66666643799998582, 37.499999129999949 0.66666643799998582, 37.499999129999949 0.74999977099998583, 37.416665796999951 0.74999977099998583, 37.416665796999951 0.66666643799998582))"
10289367,3.625,37.125,9.025,123.983,0.073,535.135,23.322,32.353,9.055,166.013,0.06,23.592,32.091,-0.03,-0.27,0.262,0.013,"POLYGON ((37.083332464999955 3.583333092999986, 37.166665797999954 3.583333092999986, 37.166665797999954 3.6666664259999862, 37.083332464999955 3.6666664259999862, 37.083332464999955 3.583333092999986))"
10290447,1.292,38.875,0.25,122.836,0.002,518.925,23.421,31.174,0.633,155.69,0.005,23.852,31.805,-0.383,-0.431,-0.631,-0.003,"POLYGON ((38.833332457999944 1.2499997689999844, 38.916665790999943 1.2499997689999844, 38.916665790999943 1.3333331019999843, 38.833332457999944 1.3333331019999843, 38.833332457999944 1.2499997689999844))"
10291789,3.958,36.958,5.575,123.78,0.045,508.165,22.267,31.611,5.454,162.427,0.033,22.411,31.234,0.121,-0.144,0.376,0.012,"POLYGON ((36.916665798999958 3.9166664249999883, 36.999999131999957 3.9166664249999883, 36.999999131999957 3.9999997579999884, 36.916665798999958 3.9999997579999884, 36.916665798999958 3.9166664249999883))"
10296804,0.042,39.292,0.2,115.227,0.002,500.525,23.313,30.043,1.74,148.001,0.014,23.013,31.225,-1.54,0.3,-1.182,-0.012,"POLYGON ((39.249999122999952 -2.2600001159389649E-07, 39.333332455999951 -2.2600001159389649E-07, 39.333332455999951 0.083333106999988388, 39.249999122999952 0.083333106999988388, 39.249999122999952 -2.2600001159389649E-07))"
10301182,2.125,37.625,12.3,114.862,0.107,488.84,22.099,30.491,1.99,157.743,0.013,22.63,30.636,10.31,-0.532,-0.145,0.094,"POLYGON ((37.583332462999948 2.0833330989999865, 37.666665795999947 2.0833330989999865, 37.666665795999947 2.1666664319999867, 37.583332462999948 2.1666664319999867, 37.583332462999948 2.0833330989999865))"
10303066,2.042,36.792,89.55,104.489,0.857,375.215,17.912,27.103,8.766,134.099,0.067,18.344,27.498,80.784,-0.432,-0.395,0.79,"POLYGON ((36.74999913299996 1.9999997659999877, 36.833332465999959 1.9999997659999877, 36.833332465999959 2.0833330989999879, 36.74999913299996 2.0833330989999879, 36.74999913299996 1.9999997659999877))"
